cruise_name,code,ship,link_to_cruise,departure_date,duration,price,PolarInside,PolarOutside,ArcticSuperior,ExpeditionSuite
The Secluded Islands and Bays of Eastern Canada,CENFRNAM1806,MS Fram,https://www.hurtigruten.com/destinations/north-america/the-secluded-islands-and-bays-of-eastern-canada/,2018-04-30,11 Days,3069 €,3069 €,3529 €,4082 €,5125 €
A Taste of the Arctic: Northbound,UK8HRTABT,MS Nordkapp,https://www.hurtigruten.com/destinations/norway/a-taste-of-the-arctic-northbound/,2017-12-15,6 Days,714 €,714 €,787 €,991 €,
A Taste of the Arctic: Northbound,UK8HRTABT,MS Nordnorge,https://www.hurtigruten.com/destinations/norway/a-taste-of-the-arctic-northbound/,2018-02-13,6 Days,714 €,714 €,787 €,,
A Taste of the Arctic: Northbound,UK8HRTABT,MS Nordlys,https://www.hurtigruten.com/destinations/norway/a-taste-of-the-arctic-northbound/,2018-02-18,6 Days,714 €,714 €,787 €,991 €,
A Taste of the Arctic: Northbound,UK8HRTABT,MS Kong Harald,https://www.hurtigruten.com/destinations/norway/a-taste-of-the-arctic-northbound/,2018-02-15,6 Days,714 €,714 €,787 €,991 €,
The Northwest Passage -  In the Wake of Great Explorers - Westbound,CENFRNWP1801,MS Fram,https://www.hurtigruten.com/destinations/northwest-passage/the-northwest-passage-in-the-wake-of-great-explorers-westbound/,2018-08-29,14 Days,10945 €,10945 €,12840 €,13959 €,
A Taste of the Arctic: Northbound,UK8HRTABT,MS Vesterålen,https://www.hurtigruten.com/destinations/norway/a-taste-of-the-arctic-northbound/,2018-02-22,6 Days,714 €,714 €,787 €,,
A Taste of the Arctic: Northbound,UK8HRTABT,MS Nordkapp,https://www.hurtigruten.com/destinations/norway/a-taste-of-the-arctic-northbound/,2018-02-19,6 Days,714 €,714 €,787 €,991 €,
Exploring Eastern Canada’s Coast,CENFRNAM1805,MS Fram,https://www.hurtigruten.com/destinations/north-america/exploring-eastern-canadas-coast/,2018-04-22,9 Days,2232 €,2232 €,2567 €,2969 €,3727 €
A Taste of the Arctic: Northbound,UK8HRTABT,MS Nordnorge,https://www.hurtigruten.com/destinations/norway/a-taste-of-the-arctic-northbound/,2017-12-09,6 Days,787 €,,787 €,991 €,
A Taste of the Arctic: Northbound,UK8HRTABT,MS Kong Harald,https://www.hurtigruten.com/destinations/norway/a-taste-of-the-arctic-northbound/,2017-12-11,6 Days,714 €,714 €,787 €,991 €,
